text,label
steve mcqueen provided a thrilling motorcycle chase in this greatest of all ww 2 prison escape movies,"B-Actor,I-Actor,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,B-Opinion,I-Opinion,I-Opinion,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
liza minnelli and joel gray won oscars for their roles in this 1972 movie that follows nightclub entertainers in berlin as the nazis come to power,"B-Actor,I-Actor,O,B-Actor,I-Actor,B-Award,I-Award,O,O,O,O,O,B-Year,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what is that tom hanks and julia roberts movie about hanks who plays a down on his luck average guy who goes back to college and gets taught by roberts,"O,O,O,B-Actor,I-Actor,O,B-Actor,I-Actor,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what is the movie making fun of macgyver by re enacting scenes similar to his movies,"O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
i am thinking of an animated film based on a classic theodor geisel children s novel about a young boy s quest to save the trees,"O,O,O,O,O,B-Genre,O,B-Origin,I-Origin,I-Origin,I-Origin,I-Origin,I-Origin,I-Origin,I-Origin,I-Origin,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what 1981 feature film starring mel gibson takes place in a post apocalyptic world in australia,"O,B-Year,O,O,O,B-Actor,I-Actor,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
this steven speilberg supernatural story of a haunted house made many filmgoers afraid of clowns,"O,B-Director,I-Director,B-Genre,O,O,O,B-Plot,I-Plot,O,O,O,O,O,O"
in what 1997 movie is there a scene featuring muscians playing on the deck of a ship,"O,O,B-Year,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
what s the movie with julie andre where she sings and flies with an umbrella and dick van dyke,"O,O,O,O,O,B-Actor,I-Actor,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,O,B-Actor,I-Actor,I-Actor"
what is the movie where jbiebs does his concerts,"O,O,O,O,O,B-Actor,B-Plot,I-Plot,I-Plot"
