index,sentence_1,sentence_2,calculated_similarity,actual_similarity
0,"It that happens, just pull the plug.","if that ever happens, just pull the plug.",0.9997041,1.0
1,A black dog running through water.,A black dog is running through some water.,0.9994942,1.0
2,I've been searchingthe entire abbey for you.,I'm looking for you all over the abbey.,0.99860275,1.0
3,"If he is good looking and has a good personality, he might be straight - but is more likely bisexual.","If he's good looking, and a good personality, he MIGHT be straight, but more likely bi.",0.9995973,1.0
4,"She does not hate you, she is just annoyed with you.","She doesn't hate you, she is just annoyed.",0.9939165,1.0
5,Actor Gazzara dead at 81,Actor Ben Gazzara dies at 81,0.9983355,1.0
6,"No, I really didn't want New York to win.",No i didn't want New york to win,0.99317676,1.0
7,I hae no problems with them.,lol i have no problems with them.,0.9992602,1.0
8,"Your parents do not have to like your boyfriend, you do.","your parents dont have to like your bf, you do.",0.9954319,1.0
9,"I think Taylor is really cute, but I hate his voice.",I think Taylor is SUPER cute...but I hate his voice.,0.9983686,1.0
10,A light brown dog runs down a path happily.,A pale dog runs down a path.,0.9997679,1.0
11,The four year old in your trunk.,The 4 Year old in your trunk,0.9994176,1.0
12,"You might find out later, that you lost the perfect one.",u might find out later you lost the perfect one.,0.99887174,1.0
13,"If she mentioned that she just wants to be friends, then it's too late.",If she has said she just wants to be friends it is already too late.,0.9994912,1.0
14,A man is pouring rice a roni into a pan.,A man poured ric-a-roni into a pan.,0.99840426,1.0
15,Guys can be weird. I should know.,Guys can be wierd; I should know.,0.99910706,1.0
16,A brown dog is jumping.,A brown dog is jumping,0.9996356,1.0
17,Fritz Laband was a German footballer .,Fritz Laband is a former German football player .,0.999786,1.0
18,Do not believe this guy for an instant.,Don't believe this guy for an instant.,0.99981105,1.0
19,Especially if you really like him and know he is shy.,especially if you really like him and know he's shy.,0.99985445,1.0
20,A man at a farmers market.,A man is at a farmers market.,0.99963844,1.0
21,The population was 517 at the 2000 census .,The population is 517 people as of 2000 .,0.9994867,1.0
22,"Breathe deeply, make the most of the air.","take a deep breath, let the air flow in.",0.998189,1.0
23,"If you happen to see me before I return, please remind me to wait.",If you should see me before I get back...please ask me to wait.,0.99933314,1.0
24,Why have you not yet told them?,Why haven't you told them yet?,0.99213874,1.0
25,I'm more comfortable when it is raining.,i'm actually more comfortable when it's raining.,0.99944943,1.0
26,The Romans had a special kind of enclosure known as glirarium used to rear dormice for the table .,The Romans had a special place to keep dormice which was called a glirarium .,0.99974823,0.969
27,It's leo's and I don't like leo.,it's leo's.......... :( i hate leo.,0.9869547,0.969
28,Because Pittsburgh is wonderful and everyone wishes they could live there.,because pittsburgh is awesome and everyone wishes they lived there!,0.9941495,0.969
29,"When I tried again, I was able to juggle.","When i went back to it, i was able to juggle!",0.9980832,0.969
30,"Have you ever watched the movie ""Robin Hood:Prince of Thieves""?",ever watched the movie 'Robin Hood; Prince of Thieves'?,0.9987276,0.969
31,i was kidding about the gilligans baby thing...promise!,I was kidding about the gilligants baby thing.,0.99944097,0.969
32,Two dogs are peeing at a red fire hydrant.,Two dogs are urinating on the red fire hydrant.,0.999652,0.969
33,I had a big breakthrough on that skirt I was working on.,I've made some progress with the skirt I'm working on.,0.9995536,0.969
34,The population was 127 at the 2000 census .,The population is 127 people as of 2000 .,0.99937695,0.969
35,"Do not fall for a girl, rather, let girls fall for you.",P.S : Dont fall for a girl.. let girls fall for you!!,0.9910364,0.969
36,It was supposed to be such a great moment for me as a dad.,"for me as a father, it should have been an amazing moment.",0.99175787,0.969
37,"George , Eliza , and Harry have also obtained their freedom after crossing into Canada .","George , Eliza , and Harry have finally reached Canada and become free .",0.99961174,0.969
38,"I've been a good boss, though, haven't I?","but I was a good boss, right?",0.99791855,0.969
39,We had a great time in Vegas!,We had a blast in Vegas!,0.9997361,0.969
40,It is sometimes referred to as the trunk .,Some people also call it the trunk .,0.9971669,0.969
41,"Yes, I am a girl and I like video games.",and yes i am a girl who likes video games.,0.99732006,0.969
42,I have just learned that I am pregnant and I am blaming you.,I just found out I am pregnant and it is your fault!!!,0.9996866,0.969
43,"It matters tremendously to you, this, doesn't it?","it's very important to you, isn't it?",0.9987415,0.969
44,"John Schneider has aged gracefully, I loved him on the show 'Dukes of Hazzard!'",John Schneider has aged very well...i loved him on The Dukes of Hazzard!,0.99920905,0.969
45,"Also, men mature later then women.","Also, men mature later than woman.",0.9999276,0.969
46,It makes it worse that no one will just say it.,it's just worse if nobody just says it.,0.9986307,0.969
47,"Then, in twenty minutes, gather at the runway.","gathering on the runway, in 20 minutes.",0.99895185,0.969
48,It is still up in the air.,it is still a toss up..,0.9975013,0.969
49,Yes I remember that it was very good.,Yea I remember it..it was pretty good,0.9903045,0.969
50,"If they ask for money, tell them no. No agent should be paid until you have received the work.","(if they ask for money, you say no.... no agent gets paid until you have gotten work.",0.99780613,0.969
51,And there are large numbers of these cells making up the nervous system.,the nervous system is comprised of a huge number of cells.,0.99682385,0.969
52,That song will be played by guys to their girl friends.,And guys will play that song for their girlfriend or something.,0.9994504,0.969
53,Croatia begins countdown to historic EU entry,Croatia countdowns to joining EU,0.9983045,0.969
54,I enjoy when the Underdog wins.,I like when the underdog wins.,0.9990052,0.969
55,Green Lantern to be reintroduced as gay by DC Comics,Green Lantern to be relaunched as gay superhero,0.9991023,0.969
56,Moffitt said the results need to be replicated in another study before testing of individuals for presence of the long or short versions of the gene will be pursued.,Professor Moffitt said the results needed to be replicated before pursuing testing of individuals for the presence of the long or short versions of the gene.,0.9995577,0.969
57,The study of these creatures has been my life's work.,I've spent my entire life studying these creatures.,0.9961221,0.969
58,The man is eating.,A man is eating food.,0.99920404,0.969
59,"The blind man said, ""I see,"" as he picked up his hammer and saw.","I see, said the blind man, as he picked up his hammer and saw.",0.99967337,0.969
60,The man and two young boys jump on a trampoline.,A man and two boys jump on a trampoline.,0.99983037,0.969
61,Greyhound does a good job at transporting people to different places.,Greyhound is pretty good at getting you places you need to go.,0.9995776,0.969
62,"He kept the gun raised, and although it was shaking, it was still pointing in David's direction.","the gun was still pointed, and though his hand was trembling, he was aiming virtually permanently at David.",0.99891806,0.969
63,The number of my father's friends amazes me.,I'm surprised how many friends my father had.,0.99551296,0.967
64,I very much enjoy Billy Talent. They are one of my favorite groups.,"I just love Billy Talent, they are one of my favourites.",0.9997745,0.967
65,Two women posing with a baby.,Two smiling women holding a baby.,0.99823576,0.938
66,"Best of luck completing your task. If you get the answer right, you can earn 5 more points.",Good Luck and it would be worth another 5 points if you get your answer right?,0.9992188,0.938
67,"Their address is: 47483 Conneticut Dr, Nashville.",they live on 47483 conneticuit drive in nashville,0.9925022,0.938
68,He claims to desire a pair of sunglasses.,He says he wants a pair of sunglasses!,0.99963814,0.938
69,"Keep searching in different areas. There are decent, enjoyable women out there.","keep looking in different places, there are decent, fun, women out there...",0.99907756,0.938
70,I was supposed to go to the movies and go-kart racing on my prom night.,on my prom night i was supposed to go to the movies and go go kart racing!,0.9966272,0.938
71,"Close up, the shale pieces looks rather lovely.",close-up pieces of shale look quite nice.,0.9979605,0.938
72,About 60 Crushed to Death in Ivory Coast Stampede,61 dead in Ivory Coast stampede,0.99761873,0.938
73,Not any more than any other female.,No more than any other girl !,0.9996544,0.938
74,"I disagree, I love ER and Wildfire!","No, I love ER.. and Wildfire!",0.9990394,0.938
75,Coldplay is becoming popular really quickly.,coldplay is really coming up fast!,0.99741435,0.938
76,"The sequel , Pikmin 2 , was released in 2004 .",Pikmin had a sequel called Pikmin 2 in 2004 for the GameCube as well .,0.999363,0.938
77,A woman and man are dancing in the rain.,A man and woman are dancing in rain.,0.99981,0.938
78,Jamun trees start flowering from March to April .,The Jamun tree starts flowering in March-April .,0.9982503,0.938
79,Cottontail rabbits show a greater resistance to myxomatosis than European rabbits .,Cottontail rabbits do not get the disease myxomatosis as easily as European rabbits .,0.9995813,0.938
80,Me and my friends used to love getting manicures.,my friends and I loved going out for a manicure.,0.99952406,0.938
81,The second answer was I just went to the toilet and I got a Tampax.,the 2nd answer was : i just went to the toilet and i got a tampax.,0.99851894,0.938
82,Bishan currently has 3 shopping centres .,Bishan has three shopping centers .,0.99975616,0.938
83,"All right, who's ready for some banana-peanut butter pancakes?","okay, who wants banana pancakes with peanut butter?",0.9991286,0.938
84,"I read somewhere, a new movie will be coming out 2008, or next year.",i read somewhere a new movie will be coming out next year or 2008.,0.99989146,0.938
85,One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,0.9992235,0.938
86,It might be genetic or he might like dark colored make-up on his nose.,maybe its genetic...or maybe he likes dark makeup on his nose!!!,0.9974794,0.938
87,I like Tess but Jessica is too much of a goody-goody!,"I like Tess,Jessica is to goody goody!",0.99826896,0.938
88,Pittodrie Stadium is a football stadium situated in the Scottish city of Aberdeen .,"Pittodrie Stadium is a stadium in Aberdeen , Scotland .",0.9996512,0.938
89,Do nt feel bad. My son is 31 and still single.,"Dont feel bad, my son is 31 and still single.",0.9995753,0.938
90,A good website to resell your books is half.com.,half.com is a great website to sell your books!,0.9994012,0.938
91,"Flowers, normally roses, and a box of candy.",flowers normally roses and a thing of candy!,0.99946576,0.938
92,I'm going to get you safely out of Rome.,I'll take you from Rome to safety.,0.9983165,0.938
93,"Well, here's a slipknot site www.Pulseofthemaggots.com.",um well here is a slipknot site www.pulseofthemaggots.com !!,0.99855363,0.938
94,Your questions do not make any sence.,your questions dont make no sense!!!!!!,0.9955119,0.938
95,"It depends, do you really want to meet him?",it depends if you really want to meet him.,0.999474,0.938
96,The Flat Earth model is a view that the Earth 's shape is a flat plane .,The idea of a flat Earth is that the surface of the Earth is flat .,0.99858856,0.938
97,Fluoxetine is an antidepressant of the selective serotonin reuptake inhibitor class .,Fluoxetine is a one of a group of antidepressants called selective serotonin reuptake inhibitors .,0.9997248,0.938
98,You already made your decision.,you already made your decision....it's over.,0.9970277,0.938
99,"Amsterdam is just a load of bloody prostitutes, isn't it?","there's only a bunch of prostitutes in Amsterdam, right?",0.9970118,0.938
100,Syrian opposition offers Assad truce in Homs for duration of Ramadan,Syrian opposition offers Assad's forces truce for duration of Ramadan,0.9997896,0.938
101,I like that song if it is the right song.,I LIKE THAT SONG IF IT'S THE RIGHT SONG ;),0.9833213,0.938
102,Obama Praises Mandela 'Inspiration',Obama hails Mandela's inspiration effect,0.99679047,0.938
103,Make yourself happy before anyone else!,Make urself happy before anyone else!,0.99579483,0.938
104,KL shares remain higher mid-afternoon,KL shares continue uptrend mid-afternoon,0.9988723,0.938
105,Autograph also refers to a person 's signature .,An autograph can also mean someones signature .,0.99617565,0.938
106,Game Maker is a Windows computer program originally developed by Mark Overmars in the Delphi programming language .,Game Maker is a program for Windows - An operating system - which was made first by Mark Overmars .,0.9991836,0.938
107,No wonder Edward was reacting this way.,it was no surprise that Edward reacted like that.,0.99925935,0.938
108,I am not sure if you need saxophone or piano music.,"Not sure if you needed sax or piano music, anyway.",0.9998339,0.938
