index,sentence_1,sentence_2,calculated_similarity,actual_similarity
0,"It that happens, just pull the plug.","if that ever happens, just pull the plug.",0.8636668920516968,1.0
1,A black dog running through water.,A black dog is running through some water.,0.8762075304985046,1.0
2,I've been searchingthe entire abbey for you.,I'm looking for you all over the abbey.,0.44458919763565063,1.0
3,"If he is good looking and has a good personality, he might be straight - but is more likely bisexual.","If he's good looking, and a good personality, he MIGHT be straight, but more likely bi.",0.8597927689552307,1.0
4,"She does not hate you, she is just annoyed with you.","She doesn't hate you, she is just annoyed.",0.8867093324661255,1.0
5,Actor Gazzara dead at 81,Actor Ben Gazzara dies at 81,0.544145405292511,1.0
6,"No, I really didn't want New York to win.",No i didn't want New york to win,0.5276657342910767,1.0
7,I hae no problems with them.,lol i have no problems with them.,0.7405295372009277,1.0
8,"Your parents do not have to like your boyfriend, you do.","your parents dont have to like your bf, you do.",0.9196016192436218,1.0
9,"I think Taylor is really cute, but I hate his voice.",I think Taylor is SUPER cute...but I hate his voice.,0.9290356636047363,1.0
10,A light brown dog runs down a path happily.,A pale dog runs down a path.,0.7432385683059692,1.0
11,The four year old in your trunk.,The 4 Year old in your trunk,0.6990052461624146,1.0
12,"You might find out later, that you lost the perfect one.",u might find out later you lost the perfect one.,0.9500110149383545,1.0
13,"If she mentioned that she just wants to be friends, then it's too late.",If she has said she just wants to be friends it is already too late.,0.9113579392433167,1.0
14,A man is pouring rice a roni into a pan.,A man poured ric-a-roni into a pan.,0.6550531983375549,1.0
15,Guys can be weird. I should know.,Guys can be wierd; I should know.,0.9999999403953552,1.0
16,A brown dog is jumping.,A brown dog is jumping,0.893126904964447,1.0
17,Fritz Laband was a German footballer .,Fritz Laband is a former German football player .,0.6477460861206055,1.0
18,Do not believe this guy for an instant.,Don't believe this guy for an instant.,0.9602375030517578,1.0
19,Especially if you really like him and know he is shy.,especially if you really like him and know he's shy.,0.9557324051856995,1.0
20,A man at a farmers market.,A man is at a farmers market.,0.8829507827758789,1.0
21,The population was 517 at the 2000 census .,The population is 517 people as of 2000 .,0.6738099455833435,1.0
22,"Breathe deeply, make the most of the air.","take a deep breath, let the air flow in.",0.4911327660083771,1.0
