index,sentence_1,sentence_2,calculated_similarity,actual_similarity
0,it that happens just pull the plug,if that ever happens just pull the plug,0.9590886,1.0
1,a black dog running through water,a black dog is running through some water,0.9444951,1.0
2,ive been searchingthe entire abbey for you,im looking for you all over the abbey,0.80546886,1.0
3,if he is good looking and has a good personality he might be straight  but is more likely bisexual,if hes good looking and a good personality he might be straight but more likely bi,0.932468,1.0
4,she does not hate you she is just annoyed with you,she doesnt hate you she is just annoyed,0.95111185,1.0
5,actor gazzara dead at 81,actor ben gazzara dies at 81,0.70884186,1.0
6,no i really didnt want new york to win,no i didnt want new york to win,0.9781628,1.0
7,i hae no problems with them,lol i have no problems with them,0.90597326,1.0
8,your parents do not have to like your boyfriend you do,your parents dont have to like your bf you do,0.94122064,1.0
9,i think taylor is really cute but i hate his voice,i think taylor is super cutebut i hate his voice,0.9568526,1.0
10,a light brown dog runs down a path happily,a pale dog runs down a path,0.86957115,1.0
11,the four year old in your trunk,the 4 year old in your trunk,0.9612722,1.0
12,you might find out later that you lost the perfect one,u might find out later you lost the perfect one,0.96839714,1.0
13,if she mentioned that she just wants to be friends then its too late,if she has said she just wants to be friends it is already too late,0.9408473,1.0
14,a man is pouring rice a roni into a pan,a man poured ricaroni into a pan,0.80437,1.0
15,guys can be weird i should know,guys can be wierd i should know,0.97260976,1.0
16,a brown dog is jumping,a brown dog is jumping,1.0,1.0
17,fritz laband was a german footballer ,fritz laband is a former german football player ,0.8288808,1.0
18,do not believe this guy for an instant,dont believe this guy for an instant,0.9437848,1.0
19,especially if you really like him and know he is shy,especially if you really like him and know hes shy,0.9673057,1.0
20,a man at a farmers market,a man is at a farmers market,0.95343196,1.0
21,the population was 517 at the 2000 census ,the population is 517 people as of 2000 ,0.7761562,1.0
22,breathe deeply make the most of the air,take a deep breath let the air flow in,0.70484483,1.0
23,if you happen to see me before i return please remind me to wait,if you should see me before i get backplease ask me to wait,0.9491083,1.0
24,why have you not yet told them,why havent you told them yet,0.92908794,1.0
25,im more comfortable when it is raining,im actually more comfortable when its raining,0.95448834,1.0
26,the romans had a special kind of enclosure known as glirarium used to rear dormice for the table ,the romans had a special place to keep dormice which was called a glirarium ,0.7799148,0.969
27,its leos and i dont like leo,its leos  i hate leo,0.9046279,0.969
28,because pittsburgh is wonderful and everyone wishes they could live there,because pittsburgh is awesome and everyone wishes they lived there,0.9457499,0.969
29,when i tried again i was able to juggle,when i went back to it i was able to juggle,0.94433963,0.969
30,have you ever watched the movie robin hoodprince of thieves,ever watched the movie robin hood prince of thieves,0.87309134,0.969
31,i was kidding about the gilligans baby thingpromise,i was kidding about the gilligants baby thing,0.9688712,0.969
32,two dogs are peeing at a red fire hydrant,two dogs are urinating on the red fire hydrant,0.9454379,0.969
33,i had a big breakthrough on that skirt i was working on,ive made some progress with the skirt im working on,0.8115529,0.969
34,the population was 127 at the 2000 census ,the population is 127 people as of 2000 ,0.7761562,0.969
35,do not fall for a girl rather let girls fall for you,ps  dont fall for a girl let girls fall for you,0.90297127,0.969
36,it was supposed to be such a great moment for me as a dad,for me as a father it should have been an amazing moment,0.920662,0.969
37,george  eliza  and harry have also obtained their freedom after crossing into canada ,george  eliza  and harry have finally reached canada and become free ,0.8157165,0.969
38,ive been a good boss though havent i,but i was a good boss right,0.76290077,0.969
39,we had a great time in vegas,we had a blast in vegas,0.80993277,0.969
40,it is sometimes referred to as the trunk ,some people also call it the trunk ,0.7307824,0.969
41,yes i am a girl and i like video games,and yes i am a girl who likes video games,0.9291357,0.969
42,i have just learned that i am pregnant and i am blaming you,i just found out i am pregnant and it is your fault,0.89193094,0.969
43,it matters tremendously to you this doesnt it,its very important to you isnt it,0.8275209,0.969
44,john schneider has aged gracefully i loved him on the show dukes of hazzard,john schneider has aged very welli loved him on the dukes of hazzard,0.92783064,0.969
45,also men mature later then women,also men mature later than woman,0.90315616,0.969
46,it makes it worse that no one will just say it,its just worse if nobody just says it,0.8938921,0.969
47,then in twenty minutes gather at the runway,gathering on the runway in 20 minutes,0.8832654,0.969
48,it is still up in the air,it is still a toss up,0.78249604,0.969
49,yes i remember that it was very good,yea i remember itit was pretty good,0.9128502,0.969
50,if they ask for money tell them no no agent should be paid until you have received the work,if they ask for money you say no no agent gets paid until you have gotten work,0.96473575,0.969
51,and there are large numbers of these cells making up the nervous system,the nervous system is comprised of a huge number of cells,0.8434918,0.969
52,that song will be played by guys to their girl friends,and guys will play that song for their girlfriend or something,0.88019437,0.969
53,croatia begins countdown to historic eu entry,croatia countdowns to joining eu,0.6980254,0.969
54,i enjoy when the underdog wins,i like when the underdog wins,0.94005364,0.969
55,green lantern to be reintroduced as gay by dc comics,green lantern to be relaunched as gay superhero,0.79675025,0.969
56,moffitt said the results need to be replicated in another study before testing of individuals for presence of the long or short versions of the gene will be pursued,professor moffitt said the results needed to be replicated before pursuing testing of individuals for the presence of the long or short versions of the gene,0.958316,0.969
57,the study of these creatures has been my lifes work,ive spent my entire life studying these creatures,0.73175704,0.969
58,the man is eating,a man is eating food,0.88975346,0.969
59,the blind man said i see as he picked up his hammer and saw,i see said the blind man as he picked up his hammer and saw,1.0000001,0.969
60,the man and two young boys jump on a trampoline,a man and two boys jump on a trampoline,0.96872073,0.969
61,greyhound does a good job at transporting people to different places,greyhound is pretty good at getting you places you need to go,0.76062626,0.969
62,he kept the gun raised and although it was shaking it was still pointing in davids direction,the gun was still pointed and though his hand was trembling he was aiming virtually permanently at david,0.864394,0.969
63,the number of my fathers friends amazes me,im surprised how many friends my father had,0.7801637,0.967
64,i very much enjoy billy talent they are one of my favorite groups,i just love billy talent they are one of my favourites,0.9152074,0.967
65,two women posing with a baby,two smiling women holding a baby,0.810888,0.938
66,best of luck completing your task if you get the answer right you can earn 5 more points,good luck and it would be worth another 5 points if you get your answer right,0.92261004,0.938
67,their address is 47483 conneticut dr nashville,they live on 47483 conneticuit drive in nashville,0.6263988,0.938
68,he claims to desire a pair of sunglasses,he says he wants a pair of sunglasses,0.80762726,0.938
69,keep searching in different areas there are decent enjoyable women out there,keep looking in different places there are decent fun women out there,0.95074296,0.938
